Unique_Author,File_changed,Insertions,Deletions,Issue
Gauri1 Deshpande,2,4,4,0
settle,24,179,116,0
Chris Gorgolewski,2,13,0,0
Ashwin Murthy,166,5421,1082,0
Jack Hessel,2,5,0,0
Tony,2,5,4,0
Giorgio Arena,20,2126,579,0
Srihari Humbarwadi,17,115,113,0
hedgehog91,1,0,0,0
Phil Pearl,12,980,467,0
Lluis-Miquel Munguia,17,686,173,0
Nupur Garg,976,22367,11365,2
chuanqiw,4,12,13,0
Tamara Norman,217,5094,1981,0
Samuel Holt,1,0,0,0
Devi Sandeep Endluri,1,11,7,0
peng,4,3,7,0
jonah-kohn,3,33,8,0
Thomas Raoux,1,0,0,0
Sam Holt,7,128,14,0
Lukasz Kaiser,211,3205,2160,0
Agoniii,7,29,22,0
Nishidha Panpaliya,22,137,50,0
Lutz Roeder,2,11,6,0
Meteorix,1,0,0,0
Chen Lei,2,0,0,0
Amedeo Cavallo,1,9,0,0
Gaurav Menghani,1,0,0,0
stjohnso98,1,9,4,0
Anthony Scherba,2,2,2,0
Yifei Feng,4556,161096,175564,6
Chris Knorowski,32,169,77,1
Joshua Chia,1,2,0,0
Christian Clauss,3,2,2,0
Sean Settle,9,249,7,0
Carlos Hernandez-Vaquero,1,3,3,0
cclauss,28,49,32,0
frreiss,284,6485,3607,2
wyzhao,23,1747,18,0
nihui,2,6,6,0
Urs Koster,1,2,0,0
M\u00e5ns Nilsson,7,226,0,0
Hugh Ku,5,40,3,0
Alexander Gorban,12,393,177,0
Tongzhou Wang,2,5,5,0
Gregory Clark,37,358,361,0
Abdul Baseer Khan,3,2,2,0
Alexey Rogachevskiy,2,43,14,0
Keith Smiley,11,123,70,0
Xiaoquan Kong,16,159,81,0
Sreeni Kesavarapu,48,1072,102,0
Gregory Keith,1,0,0,0
Semun Lee,1,2,2,0
Anudhyan Boral,213,9477,2828,0
Vaibhav Jade,4,2,0,0
Harjyot Bagga,2,0,0,0
wondertx,1,2,2,0
seo-inyoung,2,5,5,0
Sergey Mironov,3,14,11,0
Kilaru Yasaswi Sri Chandra Gandhi,12,11,11,0
storypku,2,2,15,1
Karol Gugala,1,4,4,0
Young Soo Kim,1,10,7,1
Alan Chiao,103,3004,3961,0
stevensa,3,12,9,0
Jake Tae,7,37,33,0
Sam Kaufman,6,16,0,0
rangjiaheng,1,0,0,0
Will Battel,2,0,0,0
Rahul Huilgol,95,1533,561,0
Ajay P,27,410,177,1
Ben Arnao,1,2,2,0
Gian Marco Iodice,7,408,95,0
Swapnil Parekh,1,0,0,0
Janosh Riebesell,2,14,14,0
Ryohei Ikegami,1,0,0,0
Marcin Sielski,4,70,61,0
Guozhong Zhuang,154,7816,8422,5
Michael Moffitt,2,2,2,0
Felix E. Klee,1,2,2,0
amoitra,93,2734,993,0
Andrew Stevens,16,1392,67,0
Peng Sun,56,1964,683,0
Shunya Ueta,1,2,2,0
Shraiysh Vaishay,15,1393,2,0
Derek Murray,5163,130878,64634,2
Andrew Cavanaugh,8,136,13,0
josh meyer,1,0,0,0
leslie-fang-intel,15,110,66,3
tongxuan.ltx,5,27,7,0
Bryan Cutler,15,133,57,0
Hahn Anselm,2,0,2,0
Bastian Eichenberger,3,14,14,0
Chris Tessum,2,97,0,0
jacco,73,12273,677,3
naumkin,4,1025,2525,0
Daria Zhuravleva,8,968,229,0
Christopher Suter,13,100,71,0
Richard Levasseur,1,2,0,0
Brian Lee,81,1581,405,0
Neeraj Bhadani,4,6,4,0
mshr-h,12,14,14,0
902449@58880@bigcat_chen,1,33,0,0
Fei Sun,7,37,14,0
Bharat123rox,9,86,26,0
Tzu-Wei Huang,1,2,2,0
ouyang jin,20,178,73,0
Kayou,1,0,0,0
Mirko Visontai,1,57,40,0
Logan Chien,41,1265,199,0
Rushabh Vasani,9,46,16,0
Evan Rosen,5,26,11,0
Mia Roh,2,39,2,0
periannath,1,8,0,0
Edgar Liberis,1,0,0,0
Ashutosh Hathidara,55,557,147,0
Patrick Hemmer,2,30,32,1
Eugene Mikhantiev,1,5,0,0
feihugis,10,774,275,0
Evgenii Zheltonozhskii,65,954,208,0
Adam Roberts,46,1491,424,0
Evgeniy Zheltonozhskiy,3,10,4,0
gurushantj,1,2,2,0
Peng Meng,5,118,16,0
xutianming,1,0,0,0
Angus-Luo,55,216,185,0
flyingcat,1,0,0,0
JLZ,1,17,0,0
Guizi Li,140,4304,1853,7
tomas,16,64,48,0
Niranjan Yadla,24,3934,289,1
Tony Tonev,4,21,13,0
Itamar Turner-Trauring,7,106,6,0
Marcel Koester,35,1713,634,0
Manish,8,28,29,0
ganler,2,5,10,0
Owen Lyke,1,2,2,0
oclyke,7,2,930,0
Rohan Reddy,14,63,17,0
vcarpani,8,112,46,0
Kam D Kasravi,1,0,0,0
Byambaa,64,535,285,0
Jenni Kilduff,8,296,7,0
James Bradbury,12,69,10,0
blueyi,3,5,5,0
Vijay Tadikamalla,1,0,0,0
Artem Mavrin,10,63,147,0
zhaozheng09,2,36,3,0
Téo Bouvard,2,2,2,0
Paul Andrey,13,191,146,0
Sven-Hendrik Haase,2,0,0,0
Michael Reneer,2,2,0,0
Anush Elangovan,7,60,29,0
khaled besrour,2,6,2,0
Igor Ganichev,748,28746,10055,0
Jonas Skog,6,34,5,0
sunchenggen,2,39,3,0
Tomohiro Ubukata,11,91,44,0
Ir1d,5,43,17,0
Kathy Ruan,3,4,2,0
“jaketae”,51,318,84,0
Siyavash Najafzade,3,118,0,0
张志豪,15,46,44,0
Fabio Di Domenico,13,27,13,0
angusluo,9,10,8,0
Oleg Rybakov,7,105,72,0
Nick Morgan,1,3,0,0
Guy David,5,71,58,0
Georgios Pinitas,6,219,23,1
Vojtech Bardiovsky,145,2576,865,0
Rajan Singh,1,0,0,0
Raziel Alvarez,6,152,16,0
Martin Jul,4,6,6,0
vijayphoenix,6,147,5,0
Mokke Meguru,4,14,10,0
Michael Käufl,2,2,3,0
Ruan Kunliang,1,4,0,0
Harald Husum,4,30,13,0
Dayeong Lee,36,1305,420,0
tigertang,4,4,4,0
ayushmankumar7,5,0,0,0
jayanth,2,26,22,0
Giuseppe Rossini,11,1534,1627,0
Haoyu Wu,17,249,217,0
sunway513,9,21,6,0
Alex Hoffman,8,54,17,0
Yanping Huang,2,2,3,1
OverLordGoldDragon,2,2,2,0
lyonguyen8697,19,179,15,0
Clayne Robison,144,3858,961,1
jojimonv,18,735,499,0
aaronhma,1,9,7,0
jojivk-intel-nervana,1,0,0,0
jmsmdy,2,29,21,0
Brian Atkinson,836,7330,6570,0
Jinzhe Zeng,7,8,7,0
Alan Yee,76,352,316,0
madisetti,3,0,6,0
Zongwei Zhou,9,43,26,0
JaehunRyu,4,12,17,0
dothinking,1,11,7,0
MoussaMM,6,50,14,0
pingsutw,1,2,2,0
Kwabena W. Agyeman,12,89,45,0
nikochiko,33,502,424,0
Benjamin Gaillard,2,4,0,0
kurileo,2,2,2,0
Pallavi G,9,462,182,0
Youlong Cheng,90,2428,358,0
Tom Forbes,1,0,0,0
Officium,1,14,8,0
Vincent Abriou,2,27,0,0
William D. Irons,90,984,608,0
Aditya Patwardhan,26,1627,103,0
Frédéric Rechtenstein,6,51,5,0
TengLu,41,1527,873,2
FAIJUL,3,100,59,0
Judd,6,24,24,0
Timon Van Overveldt,16,74,97,0
vladbataev,3,57,3,0
Mitchell Vitez,3,4,4,0
Puneeth K,19,119,81,0
David Rees,3,7,0,0
ga,1,0,0,0
Tom Carchrae,11,22,0,0
372046933,2,2,2,0
MichaelKonobeev,14,51,54,0
PhilipMay,1,0,0,0
exfalso,1,0,0,0
Fei Hu,1020,58905,40734,12
punndcoder28,2,22,0,0
Taylor Robie,536,8420,3000,0
Jeff Daily,201,878,450,0
Meng Zhang,3,0,0,0
Elton Yang,1,19,0,0
srinivasan.narayanamoorthy,62,1501,477,0
Kevin Hanselman,7,7,7,0
Stephan Uphoff,8,62,32,0
Anthony Barbier,51,635,132,0
Rasul Karimov,15,2000,1983,0
Scott Todd,9,648,61,0
Prashant Dandriyal,1,8,4,0
comet,15,49,49,0
Pooya Davoodi,238,2519,1161,1
Maher Jendoubi,18,17,17,0
Stanley Bileschi,5,33,12,0
Erik Zettel,2,4,4,0
Abin Shahab,2,33,0,0
Michael Liao,2,2,0,0
Owen L - SFE,69,1374,266,0
Ahti Kitsik,1,0,0,0
Zhou Peng,12,134,27,0
IrinaM21,6,23,14,0
Joseph-Rance,5,40,20,0
Rick Wierenga,8,60,25,0
Victor Peng,1,0,0,0
Shyam Sundar Dhanabalan,1,0,0,0
Tong Shen,486,15582,7840,0
Saleem Abdulrasool,5,27,0,0
archis,18,179,119,0
Sasan Jafarnejad,1,0,0,0
Christian Goll,2,16,5,0
Qwerty71,7,51,36,0
Hugo,13,32,31,0
elzino,1,4,0,0
Craig Citro,28,364,44,0
Mrinal Jain,6,18,6,0
ytyt-yt,1,0,0,0
Yanan Cao,432,15056,7121,1
Nicholas Gao,1,6,6,0
Kaustubh Maske Patil,16,158,113,0
William-Yin123,46,148,86,0
Dheeraj R Reddy,4,18,16,0
boron,11,66,43,0
George Sterpu,7,10,10,0
Andrei Kulik,8,58,44,0
Eyvind Niklasson,2,33,4,0
Richard Xiao,4,0,0,0
Lamar,10,410,127,0
Tetragramm,3,6,8,0
sharkdtu,3,43,13,0
Sami,72,2336,1637,1
Paul Baranay,2,2,0,0
autoih,39,347,297,1
BashirSbaiti,3,10,2,0
Adam Wood,7,310,289,0
Mbah-Javis,36,340,266,0
Yuki Ueda,4,4,4,0
Shreyash Patodia,1,0,0,0
Khor Chean Wei,1,0,0,0
Ethan Saadia,4,58,16,0
Hristo Vrigazov,18,328,72,0
msteknoadam,25,1449,1275,0
pshiko,3,22,13,0
zhuwenxi,1,2,2,0
arpan-dhatt,1,18,0,0
HotPotatoC,22,109,87,0
leike666666,5,41,45,0
RichardXiao13,2,5,0,0
Arvind Sundararajan,1,7,6,0
Manuel Freiberger,26,657,53,0
ruchit2801,1,0,0,0
SumanSudhir,1,0,0,0
Alexandre Abadie,1,2,0,0
Frank Laub,3,34,0,0
deepakm,1,2,2,0
Wallyss Lima,2,7,3,0
Noah Trenaman,1,0,0,0
Andr? Susano Pinto,92,1329,774,0
Marco Jacopo Ferrarotti,1,2,2,0
Anuj Rawat,8,614,144,0
Huanming Fang,1,5,0,0
Jean-Denis Lesage,8,140,13,0
Hans Gaiser,2,13,7,0
Benjamin Barenblat,11,39,30,0
William Zhang,18,112,80,0
Jin Mingjian,1,0,0,0
Taehun Kim,2,114,15,0
Jose Ignacio Gomez,28,455,92,0
Fangjun Kuang,11,11,11,0
Drake Gens,2,5,5,0
minoring,1,0,0,0
Yaxun (Sam) Liu,1,0,0,0
Alkis Evlogimenos,3,15,10,0
thierry,4,54,27,0
Thierry Herrmann,6,32,13,0
Vishal Bhola,2,10,8,0
Wen-Heng (Jack) Chung,358,6605,2580,1
Denis Khalikov,167,9316,556,0
Hugo Sjöberg,3,0,2,0
www,3,0,8,0
Ewout ter Hoeven,1,4,6,0
Daniel Falbel,6,40,12,0
LIUJIAN435,22,187,70,0
Kimberly,1,3,0,0
nmostafa,15,536,108,0
Anthony Liu,8,624,13,0
Shane Smiskol,1,2,0,0
Alexandre E. Eichenberger,1,18,20,0
David Chen,1,8,2,0
David Soergel,360,11236,1803,0
Robert Crowe,1,10,4,0
Markus Franke,1,0,0,0
Niels Ole Salscheider,11,249,14,0
rpalakkal,2,22,7,0
Diederik van Liere,1,2,0,0
Christian Sachs,1,2,2,0
Diego Caballero,50,583,131,0
brett koonce,132,222,222,0
JKIsaacLee,2,0,0,0
Johan Euphrosine,12,17,13,0
hsahovic,1,0,0,0
Michal Tarnowski,1,5,0,0
David Truby,1,0,0,0
Amit Kumar Jaiswal,6,53,40,0
Andrew Anderson,1,26,25,0
Dan Zheng,6,34,32,0
Jacob Burnim,3,44,35,0
Jean-Michel Gorius,10,129,137,0
zhangshijin,1,0,0,0
nuka137,1,0,0,0
Eric Schweitz,31,213,0,0
Bharat Raghunathan,3,11,10,0
Stefano Mazzocchi,1,7,4,0
Srishti,1,0,0,1
Namrata Bhave,3,6,4,0
Tian Jin,32,1401,655,0
Srishti Yadav,1,26,0,0
Hans Pabst,17,370,342,2
Peng Wu,8,184,163,0
namrata-ibm,23,464,103,0
MLIR Team,491,15155,4273,0
Andy Davis,158,7599,3081,0
PragmaTwice,1,0,0,0
Sergio Guadarrama,172,4279,829,0
Lee Netherton,1,17,10,0
darsh8200,2,8,8,0
Devansh Singh,1,12,12,0
Douman,3,28,17,0
Sarvesh Dubey,1,5,5,0
steph-en-m,1,38,34,0
Ending2015a,1,0,0,1
Keunwoo Choi,2,12,3,0
Somyajit Chakraborty Sam,8,6,11,0
mattn,1,0,0,0
scentini,3,18,4,0
wenshuai-xiaomi,1,2,2,0
R Gomathi,17,751,129,0
wenshuai,5,217,0,0
Roberto Rosmaninho,2,4,4,0
James Molloy,68,2046,457,0
djshen,2,9,0,0
angeliand,2,8,2,0
Yusup,2,17,3,0
Jared Nielsen,3,23,19,0
Abdülhamit Yilmaz,1,0,0,0
caster,3,7,7,0
Oleksii Volkovskyi,1,6,0,0
Paige Bailey,5,15,17,0
Jongwon Lee,1,2,2,0
william,7,75,49,0
Olivier Moindrot,4,8,6,0
Trevor Hickey,1,2,2,0
anujajakhade,2,9,9,0
James Ring,298,6439,2970,0
Keiji ARIYAMA,1,0,2,0
Stephen Mugisha,3,49,4,0
giuros01,5,779,0,0
Jeff Poznanovic,6,7,65,0
kamalkraj,4,17,25,0
Zhenyu Guo,1,5,0,0
Irina Bejan,39,1012,163,0
reinerp,4,6,6,0
Anuja Jakhade,1,0,0,0
Abhai Kollara,4,13,21,0
Rob Suderman,31,1110,272,0
Alexander Vasilyev,2,3,4,0
Sana Damani,45,2168,2817,0
Laszlo Csomor,2,2,0,0
Shahid,5,15,6,0
Yannic,1,0,0,0
Kristian Holsheimer,1,0,0,0
EFanZh,11,149,62,0
Adria Puigdomenech,62,2070,400,0
Richard Barnes,1,11,4,0
Lena Martens,2,34,0,0
parkers,4,44,5,0
Jasper Vicenti,1,0,0,0
Prabindh Sundareson,3,14,6,0
Gomathi Ramamurthy,1,0,0,0
RALOVICH Kristof,6,390,109,0
shahidhs-ibm,1,6,0,0
David Refaeli,1,0,0,0
Brett Koonce,77,122,122,0
Wei Wang,11,108,41,1
Dan Smilkov,880,41643,23926,2
Kevin Wang,1,2,2,0
Lasse Espeholt,36,499,257,0
Simon Plovyt,3,27,5,0
韩董,3,6,15,0
Kevin Rose,5,57,48,0
skeydan,1,14,3,0
handong,1,6,0,0
Juram Park,2,5,9,0
aflc,1,7,10,0
G. Ari Aye,1,0,0,0
dengziming,9,13,13,0
Joshua V. Dillon,863,40487,31298,1
cathy,3,2,2,0
Asmita Poddar,3,189,115,0
wenxizhu,106,3241,1588,0
Satoshi Tanaka,1,9,4,0
yuan,19,1078,439,0
Youwei Song,1,0,0,0
Robert Herbig,1,3,3,0
HarikrishnanBalagopal,5,11,7,0
Greg Billock,12,407,317,0
Tim Bradley,1,26,0,0
Romeo Kienzler,1,0,0,0
Stefan Dierauf,7,291,241,0
DESKTOP-GOCKTI8\monkey_jesus,1,6,6,1
saishruthi,102,411,124,3
Yongfeng Gu,62,3031,1176,0
Tim Gates,1,0,0,0
Divyanshu,1,0,0,0
Yuxin Wu,93,942,553,0
Fred Reiss,44,998,253,0
Nagy Mostafa,22,589,67,0
Jessan Hutchison-Quillian,3,30,8,0
refraction-ray,3,40,29,0
Luciano Resende,8,15,5,0
Huang Chen-Yi,3,4,7,0
Nick Hamatake,35,611,27,0
Alex Torres,2,14,26,0
Colle,1,0,0,0
candy.dc,9,79,27,0
David Norman,102,1767,461,1
Ilham Firdausi Putra,19,171,40,0
James Martens,27,879,525,0
Anton Kachatkou,12,200,29,0
Zaccharie Ramzi,7,41,27,0
Ryan McCormick,1,0,0,0
Artem Ryabov,1,27,0,0
Paul Wais,1,0,0,0
Alina Sbirlea,19,1303,640,0
Daniel Wong,3,41,28,0
Chris Lattner,1982,40286,26978,2
anubh-v,3,22,7,0
Igor Saprykin,338,14725,7440,4
Sundeep Gottipati,28,888,684,0
Dan Ringwalt,205,5766,2024,0
Muhwan Kim,2,0,0,0
Chintan Kaur,3,45,21,0
HJYOO,1,2,0,0
Siddhartha Bagaria,2,12,2,0
Zhang,1,0,0,0
王振华 (Zhenhua WANG),8,124,54,0
Karthik Muthuraman,55,677,258,0
Camillo Lugaresi,1,3,0,0
Jue Wang,1,53,53,0
Oscar Ramirez,6,168,82,0
Brendan McMahan,1,4,2,0
Takeshi Watanabe,1,0,0,0
Bhavani Subramanian,118,5497,2588,0
TensorFlower Gardener,4,78,42,0
Ivan Habernal,10,72,28,0
Emily Glanz,1,14,19,0
Matthew Denton,4,683,61,0
Vinu Rajashekhar,142,4638,871,0
Jun Wan,4,10,0,0
Andrii Prymostka,19,859,766,0
jpienaar,4,6,2,0
kstuedem,2,9,3,0
Matthew Bentham,1,0,0,0
Timothy Liu,1,224,56,0
Tomer Gafner,3,2,2,0
Aaron Ma,1,0,0,0
captain-pool,18,383,176,0
olramde,1,0,0,0
Lukas Folle,28,161,52,0
Eileen Mao,1,2,0,0
Dan Ganea,11,115,54,0
richardbrks,3,0,0,0
Trevor Morris,396,10236,3879,2
Kan Chen,1,3,3,0
Pete Blacker,25,235,99,0
Mehrdad Khatir,26,1051,118,0
Saket Khandelwal,2,6,6,0
I-Hong,15,204,70,0
Shining Sun,170,4973,2746,0
Choong Yin Thong,1,0,0,1
Yin Thong Choong,2,23,11,0
4d55397500,8,17,11,0
Edd Wilder-James,5,8,2,0
Kashif Rasul,16,218,76,1
Dr. Kashif Rasul,19,165,74,0
Chong Yan,2,2,2,0
fwcore,2,0,0,0
Shubham Goyal,1,2,0,0
ThisIsIsaac,65,395,301,0
jojimon.varghese,6,33,30,0
Neil,44,151,137,0
Johan Gunnarsson,2,0,0,0
Junyuan Xie,1,19,14,0
ocjosen,4,22,4,0
Alexey Romanov,18,79,48,0
Reuben Morais,2,12,9,0
Krzysztof Drewniak,2,11,5,0
Saran Tunyasuvunakool,7,110,10,0
Ben Lee,30,663,74,0
Phillip Kravtsov,121,1837,1179,0
Stephen McGroarty,2,10,0,0
Patrick J. LoPresti,3,8,0,0
jiakai,21,30,52,0
Andrew Lihonosov,1,7,0,0
Amit Srivastava,136,2016,394,1
Mei Jie,1,3,2,0
Till Hoffmann,40,921,178,0
Gianluca Varisco,1,5,5,0
Nathan Wells,9,216,214,0
jayhpark530,1,0,0,0
jim.meyer,1,2,0,0
Yuchen Ying,1,0,0,0
Sudip Roy,1,8,0,0
Jeroen Bédorf,39,1336,126,0
Siju Samuel,131,863,596,1
RonLek,1,15,15,0
Masaki Kozuki,4,7,7,0
Alex Ilchenko,5,319,144,0
vivek suryamurthy,1,4,7,0
Alex Itkes,1,2,2,0
Martin Mlostek,1,2,2,0
Jekyll Lai,1,0,3,0
Qingqing Cao,2,17,0,0
Tae-Hwan Jung,1,2,8,0
vbvg2008,2,3,0,0
Casper da Costa-Luis,10,9,9,0
Rishabh Kabra,9,30,28,0
Dayananda-V,58,1067,712,2
Srini511,1,0,0,0
Taehoon Lee,385,911,917,0
Patrik Gustavsson,1,2,2,0
Imran Salam,21,259,100,0
Abdullah Selek,4,32,14,0
Karl Lessard,1432,12922,1975,1
Patrick Coady,2,16,15,0
Rasmus Diederichsen,6,25,19,0
Zantares,14,505,737,1
Jojimon Varghese,4,246,12,0
alhkad,1,0,0,0
Daryl Ng,26,1434,340,0
Siju,90,75,75,0
khanhlvg,1,0,0,0
Martijn Vels,15,241,243,0
Taylor Jakobson,25,1222,123,0
Gabriel,1,3,3,0
Manraj Singh Grover,1,11,0,0
pkanwar23,5,76,32,0
Zi Yang,2,3,0,0
Rasmus Munk Larsen,552,10277,6385,0
Jeremiah Harmsen,18,690,83,0
Sourabh Bajaj,612,13615,4256,2
Joel Shapiro,3,15,5,0
musikisomorphie,4,64,19,0
Kyuwon Kim,1,0,0,0
Son Tran,16,310,67,0
Suyog Gupta,30,858,296,0
Jesper Dramsch,6,32,16,0
Cao Zongyan,50,833,257,1
Gleb Popov,11,81,24,0
Severen Redwood,1,0,0,0
Putra Manggala,2,10,10,0
Vasileios Lioutas,5,55,16,0
Bjarke Hammersholt Roune,151,4193,995,1
Pranav Marathe,40,1055,1131,0
Nayana Thorat,10,33,16,0
terryky,1,0,0,0
Greg Peatfield,7,673,0,0
per1234,1,5,5,0
Julian Niedermeier,14,64,32,0
Gaurav Mishra,42,2864,77,0
mpppk,16,24,24,0
G. Hussain Chinoy,3,4,3,0
jefby,1,3,3,0
Alex Sergeev,31,199,36,0
haison,1,0,0,0
sleighsoft,16,271,87,0
Eddie Zhou,31,658,115,0
Cheng Chang,5,19,15,1
JiangXIAO,1,0,0,0
sumesh udayakumaran,58,761,574,0
zyeric,1,0,0,0
Dwight J Lyle,1,2,2,0
gehring,3,3,0,0
Elroy Ashtian Jr,1,0,0,0
Eamon Ito-Fisher,2,14,0,0
kbhute-ibm,3,5,0,0
eashtian3,4,10,3,0
David Bieber,4,4,2,0
Kabir Kwatra,3,15,9,0
Gustavo Lima Chaves,1,4,0,0
Sigrid Keydana,1,0,0,0
Grzegorz Pawelczak,87,1469,590,0
sana-damani,82,781,492,0
Alexander Pivovarov,1,0,0,0
Chen Guoyin,2,5,0,0
zhengdi,5,51,20,0
Joon,1,3,0,0
Amit Sabne,8,845,49,0
Junqin Zhang,2,123,2,0
ejot,1,3,3,0
merturl,1,3,0,0
koock yoon,1,0,0,0
Haraldur Tómas Hallgrímsson,1,0,0,0
yann-yy,2,6,4,0
ymodak,3,2,5,0
Jeffrey Poznanovic,36,370,239,0
Joe Bowser,10,15,7,0
Phan Van Nguyen Duc,1,0,0,0
Niklas Silfverström,1,0,0,0
Yan Facai (颜发才),474,8068,2721,1
Christopher Yeh,11,77,74,0
leonard951,1,5,0,0
Justin Tunis,1,0,0,0
Astropeak,2,7,6,0
Tamas Berghammer,1,16,0,0
Gurpreet singh,2,7,15,0
chengchingwen,10,105,14,0
Dominik Schlösser,3,4,0,0
Michal W. Tarnowski,10,512,52,0
zhuoryin,12,336,230,0
gurpreetsingh9465,30,259,218,0
jhalakp,21,549,492,0
smilu97,4,16,2,0
TheMindVirus,2,57,0,0
Mike Dreves,2,0,7,0
Charles Weill,1,8,4,0
Arpit Shah,42,916,23895,0
Adam Richter,4,8,5,0
Bin Fan,6,618,12,0
Takeo Sawada,1,4,2,0
André Susano Pinto,6,36,122,0
Paul Suganthan,1,0,5,0
Tongxuan Liu,7,31,15,0
Ramon Viñas,1,0,0,0
Maksym Kysylov,3,31,12,0
Pariksheet,23,300,62,0
winstonq,1,5,3,0
aweers,13,72,29,0
Musikisomorphie,4,319,97,0
Augustina Ragwitz,1,25,6,0
Yuan (Terry) Tang,162,1455,2717,1
Mikalai Drabovich,3,8,7,0
Josh Beal,2,39,0,0
Goutham Bhat,14,961,65,0
Filip Matzner,4,19,2,0
sxwang,13,616,27,0
Brennan Saeta,830,26329,6386,0
bodin-e,31,1160,441,0
Duncan Dean,2,24,2,0
Neal Wu,139,751,8392,0
v1incent,3,2,2,0
Vincent,3,11,0,0
Cong Liu,93,2172,660,0
Shashank Gupta,9,20,16,0
FlashTek,21,324,183,0
Anshuman Tripathy,3,145,7,0
Anthony Hsu,1,5,3,0
Justin DuJardin,7,131,53,0
Subin,1,0,0,0
GimYeongJin,1,2,2,0
Geoffrey Irving,1287,16248,8367,1
Thang Luong,2,43,5,0
Pasquale Minervini,7,34,17,2
avasid,1,5,3,0
Philipp Jund,18,765,113,0
Bayberry Z,2,7,7,0
shashvatshahi1998,43,240,211,1
Tyorden,2,2,2,0
Thomas Hagebols,6,60,70,0
R S Nikhil Krishna,1,10,10,0
TungJerry,1,2,0,0
Ruizhe,1,2,0,0
mosesmarin,1,2,0,0
Moses Marin,15,61,64,0
Lifeng Nai,16,129,83,0
robert,1,13,0,0
Roman Soldatow,1,0,0,0
Blénesi Attila,1,2,2,0
Pengchong Jin,12,78,31,0
Dustin Neighly,3,13,13,0
Pavel Akhtyamov,7,67,15,0
黄鑫,1,0,0,0
mrTsjolder,48,585,340,0
Hanton Yang,1,0,0,0
luxupu,2,5,15,0
Christian Hansen,4,10,12,0
Vijay Ravichandran,2,23,14,0
Brad Huang,2,13,9,0
Nick,2,0,0,0
KDR,1,7,7,0
Sebastien Iooss,1,12,12,0
Alex,1,0,0,0
Edward Forgacs,1,0,0,0
serv-inc,2,3,3,1
Jason Zavaglia,1,0,0,0
Albert Z. Guo,1,3,2,0
Guokai Ma,47,1143,233,0
Aman Patel,1,0,0,0
Aurélien Geron,11,187,14,0
Albin Joy,31,464,421,0
Haakan Younes,5,10,6,1
Kevin Mader,3,36,0,0
DavidNorman,128,2768,1267,0
gurpreet singh,25,445,279,0
Dimitrios Vytiniotis,28,641,305,0
nlewycky,1,0,0,0
Ayush Agrawal,7,72,9,0
chenchc,1,2,2,1
Nick Lewycky,1,8,3,0
Xin Gao,2,2,2,0
Xin,1,2,3,0
shashvat,1,9,2,0
Pariksheet Pinjari,7,8,0,0
Irene Dea,4,85,4,0
Letian Kang,9,1220,879,0
monklof,1,68,11,0
Donovan Ong,1,23,7,0
Noah Fiedel,32,3110,26,0
Mandar Deshpande,5,13,8,0
chie8842,1,0,3,0
PeterLee,2,0,0,0
Tim Zaman,3,14,0,0
Shohini Ghosh,2,228,0,0
ted chang,15,72,27,0
omeir1,8,25,8,0
mandroid6,19,125,82,0
blairhan,1,0,0,0
Petros Mol,82,4578,372,0
nuka-137,1,0,0,0
abenmao,3,48,6,0
Viktor Gal,1,3,0,0
Shashi Shekhar,544,19488,3629,1
jer,3,9,9,0
Matt Silverlock,1,0,7,0
K Yasaswi Sri Chandra Gandhi,27,10,4,0
sremedios,1,2,2,0
Sumesh Udayakumaran,17,231,39,0
P Sudeepam,10,64,23,0
arp95,1,32,0,0
seanshpark,1,0,4,0
lvli,3,13,7,0
Daniel Salvadori,4,8,7,0
XinPing Wang,4,61,0,0
Yeqing Li,3,46,13,0
Aurelien Geron,55,1738,217,1
Neeraj Pradhan,1,3,0,0
RJ Ryan,490,12417,3620,1
sdamani,13,76,40,0
Mark Ryan,17,118,80,0
Amit,25,23,22,0
rthadur,1,3,3,0
Gyoung-yoon Ryoo,2,0,6,0
Alan Du,8,18,19,0
jtressle,1,0,0,0
a6802739,3,121,14,0
Quan Wang,1,7,2,0
Drew Szurko,1,0,0,0
Margaret Maynard-Reid,2,5,2,0
Brandon Carter,1,5,3,0
Jacky,14,54,35,0
karl@kubx.ca,219,5111,2467,0
Andreas Eberle,6,21,27,0
Jiankang,1,2,2,0
Pan Daoxin,39,1522,897,0
Lucas Hendren,14,41,32,0
Huan LI (李卓桓),2,6,5,0
Mike Arpaia,1,2,0,0
Armen Poghosov,3,29,25,0
Vladimir Moskva,7,14,16,0
Melissa Grueter,4,382,11,0
armenpoghosov,2,8,12,0
Mustafa Ispir,702,26072,12055,2
ryan jiang,3,18,0,0
Natalia Gimelshein,2,18,0,0
zjjott,1,0,0,1
csukuangfj,1,2,2,0
Marco Gaido,1,6,4,1
Rohit Gupta,1,0,0,0
Seth Troisi,1,0,0,0
Joe Q,1,19,0,0
jwu,10,72,53,0
hari,35,1652,620,0
HARI SHANKAR,37,101,79,0
10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104,17,467,346,0
kaixih,33,1563,564,0
Jonathan Kyl,1,0,0,0
Noah Eisen,67,1210,1236,0
Yuan Lin,14,119,84,0
HanGuo97,1,0,0,0
Dan Lazewatsky,1,3,3,0
Vagif,1,0,0,0
Loo Rong Jie,135,869,415,0
K. Hodges,1,0,0,0
